;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
612;167,4819946;145,4207153;53,12169691;-1,685777562;-29,79901123;-22,0612793;7,737731934;-5,71525229;0,00525119;1,8478;0,745794355;0,718017578;2
613;148,1551514;102,899292;56,47396868;-0,365617648;-40,81164551;-45,25585938;-4,444213867;-5,770784662;0,00488255;10,6678;0,630184239;0,238708496;2
614;160,6290894;111,7250366;57,43495157;-0,796602377;-41,11791992;-48,90405273;-7,786132813;-5,625315438;0,00525388;9,5634;0,66308972;0,308898926;2
615;153,270874;128,2350464;51,86356844;-0,79579129;-27,82678223;-25,03582764;2,79095459;-5,701397683;0,00484784;7,7094;0,644764287;0,657653809;2
616;147,3043823;116,7445068;50,1128322;-0,916800241;-33,40765381;-30,55987549;2,84777832;-5,774663295;0,00452416;7,259;0,650887335;0,438720703;2
617;140,0560913;119,6242676;52,34727746;-0,625387667;-32,02789307;-20,43182373;11,59606934;-5,466912055;0,00807859;2,6158;0,711303017;0,674133301;2
618;150,5702515;118,8831177;54,32840757;-1,193261547;-38,98083496;-31,68713379;7,293701172;-5,664793533;0,00471858;5,3118;0,672944429;0,420043945;2
619;173,637146;146,0480347;58,32809694;-1,40155464;-33,63793945;-27,58911133;6,048828125;-5,951596408;0,00414028;4,83;0,679155331;0,613769531;2
620;172,4468384;129,0023804;54,74980551;-1,764457098;-41,08813477;-43,44445801;-2,356323242;-6,104610253;0,00307796;9,634;0,634394545;0,450195313;2
621;179,8919067;110,3247681;57,60360757;-1,67995275;-52,85107422;-69,56713867;-16,71606445;-6,208866066;0,00303504;10,5992;0,62298261;0,096069336;2
622;170,8005371;138,3682251;52,45208586;-1,973837089;-31,67718506;-32,43231201;-0,755126953;-5,700269386;0,0042908;18,063;0,609251878;0,588195801;2
623;157,6326294;133,137085;50,01492036;-1,268537792;-26,39105225;-24,49554443;1,895507813;-5,753307599;0,004335;8,9542;0,640173706;0,625427246;2
624;139,9191284;106,9924316;43,42453948;-1,358019167;-32,55749512;-32,92669678;-0,36920166;-5,815904896;0,00432643;8,1738;0,641199742;0,318237305;2
625;142,0264282;106,0875854;47,14392856;-1,081618279;-35,70349121;-35,93884277;-0,235351563;-5,825679751;0,00386101;7,6582;0,643237936;0,354003906;2
626;158,9796143;133,6195679;53,45712337;-1,445959688;-30,97015381;-25,36004639;5,610107422;-6,158893485;0,00284215;7,4916;0,634732108;0,748046875;2
627;150,5122681;109,1864014;56,39487887;-0,71407168;-41,14642334;-41,3258667;-0,179443359;-5,746402592;0,00385543;17,242;0,637849106;0,41204834;2
628;160,9158936;115,7513428;57,90596982;-1,342676267;-41,55993652;-45,16455078;-3,604614258;-6,057186067;0,00277165;11,9234;0,618718298;0,434448242;2
629;151,090271;87,74639893;57,76166346;-0,807412624;-55,00720215;-63,34387207;-8,336669922;-5,744799505;0,00702071;11,2074;0,722013008;0,177124023;2
